pgmigrate_success 46242479
pgmigrate_fail 129
thp_migration_success 59841
thp_migration_fail 2
thp_migration_split 0
thp_fault_alloc 54925
thp_fault_fallback 0
thp_fault_fallback_charge 0
thp_collapse_alloc 68
thp_collapse_alloc_failed 0
thp_file_alloc 0
thp_file_fallback 0
thp_file_fallback_charge 0
thp_file_mapped 0
thp_split_page 0
thp_split_page_failed 0
thp_deferred_split_page 58
thp_split_pmd 68
thp_split_pud 0
thp_zero_page_alloc 0
thp_zero_page_alloc_failed 0
thp_swpout 0
thp_swpout_fallback 0
htmm_nr_promoted 7737708
htmm_nr_demoted 38475896
htmm_nr_sampled 0
htmm_missed_dramread 0
htmm_missed_nvmread 0
htmm_missed_write 0
htmm_alloc_dram 25803775
htmm_alloc_nvm 3783817
MemTotal:       1184223252 kB
MemFree:        1151698512 kB
MemAvailable:   1161197948 kB
Buffers:           24988 kB
Cached:         13377396 kB
SwapCached:            0 kB
Active:           451008 kB
Inactive:       14137236 kB
Active(anon):       1416 kB
Inactive(anon):  1214748 kB
Active(file):     449592 kB
Inactive(file): 12922488 kB
Unevictable:        5644 kB
Mlocked:               0 kB
SwapTotal:             0 kB
SwapFree:              0 kB
Dirty:                76 kB
Writeback:             0 kB
AnonPages:       1186016 kB
Mapped:           535444 kB
Shmem:             30304 kB
KReclaimable:     440116 kB
Slab:             703436 kB
SReclaimable:     440116 kB
SUnreclaim:       263320 kB
KernelStack:       18832 kB
PageTables:        25240 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    592111624 kB
Committed_AS:    5963324 kB
VmallocTotal:   13743895347199 kB
VmallocUsed:      206272 kB
VmallocChunk:          0 kB
Percpu:            65280 kB
HardwareCorrupted:     0 kB
AnonHugePages:     98304 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:      572900 kB
DirectMap2M:     7254016 kB
DirectMap1G:    1180696576 kB
